@relation dataset

@attribute attribute0 numeric
@attribute attribute1 numeric
@attribute attribute2 numeric
@attribute attribute3 numeric
@attribute attribute4 numeric
@attribute attribute5 numeric
@attribute attribute6 numeric
@attribute attribute7 numeric
@attribute attribute8 numeric
@attribute attribute9 numeric
@attribute attribute19 numeric
@attribute attribute20 numeric
@attribute attribute21 numeric
@attribute attribute22 numeric
@attribute class {weka.classifiers.meta.ClassificationViaRegression,weka.classifiers.functions.MultilayerPerceptron,weka.classifiers.trees.RandomForest,weka.classifiers.bayes.BayesNet,weka.classifiers.meta.LogitBoost,weka.classifiers.rules.JRip,weka.classifiers.trees.LMT,weka.classifiers.lazy.KStar,weka.classifiers.meta.MultiClassClassifier,weka.classifiers.meta.RandomCommittee,weka.classifiers.meta.RandomSubSpace,weka.classifiers.rules.DecisionTable,weka.classifiers.meta.Bagging,weka.classifiers.lazy.LWL,weka.classifiers.bayes.NaiveBayes,weka.classifiers.meta.AttributeSelectedClassifier,weka.classifiers.functions.Logistic,weka.classifiers.lazy.IBk,weka.classifiers.meta.AdaBoostM1,weka.classifiers.functions.SMO,weka.classifiers.trees.J48,weka.classifiers.trees.RandomTree,weka.classifiers.meta.Vote}

@data

5,1.716496,0.333333,0.000154,0,8,0,8,12960,2,0,0,0,0,weka.classifiers.meta.ClassificationViaRegression
10,3.321833,0.101779,0.098577,64,0,1,64,5620,0,0,1,0,0.030273,weka.classifiers.functions.MultilayerPerceptron
5,0.635463,0.89768,0.005116,10,0,1,10,5473,0,1,1,0,0,weka.classifiers.trees.RandomForest
3,1.584963,0.333333,0.333333,21,1,0.954545,22,36,4,0,1,0,0.045351,weka.classifiers.bayes.BayesNet
7,2.805538,0.157333,0.136,19,0,1,19,1500,0,0,1,0,0.049861,weka.classifiers.trees.RandomForest
7,2.800827,0.155556,0.116049,19,0,1,19,810,0,0,1,0,0.049861,weka.classifiers.trees.RandomForest
7,2.807355,0.142857,0.142857,19,0,1,19,2310,0,0,1,0,0.049861,weka.classifiers.trees.RandomForest
2,0.99673,0.533654,0.466346,60,0,1,60,208,0,1,1,0,0,weka.classifiers.functions.MultilayerPerceptron
2,0.96736,0.605955,0.394045,57,0,1,57,4601,0,1,1,0,0,weka.classifiers.trees.RandomForest
2,0.730761,0.795539,0.204461,44,0,1,44,269,0,1,1,0,0,weka.classifiers.meta.LogitBoost
